tableId,id,name,type
tblCrew,fldCrewName00001,Name,singleLineText
tblCrew,fldCrewSeat00001,Seat,number
tblCrew,fldCrewStatus001,MembershipStatus,singleSelect
tblCrew,fldCrewDuesDate01,LastDuesDate,date
tblCrew,fldCrewAgeBand01,AgeBracket,singleSelect
tblCrew,fldCrewContact01,EmergencyContactPhone,singleLineText
tblCrew,fldCrewSeason001,Season,singleLineText
tblEquipment,fldEquipName0001,ItemName,singleLineText
tblEquipment,fldEquipVendor001,VendorName,singleLineText
tblEquipment,fldEquipSvcDate01,ServiceDate,date
tblEquipment,fldEquipBase0001,BaseServiceCost,number
tblEquipment,fldEquipAddon001,AddonCost,number
tblEquipment,fldEquipTotal001,TotalQuote,number
tblEquipment,fldEquipStatus001,InvoiceStatus,singleSelect
tblEquipment,fldEquipSeason001,Season,singleLineText
tblRaces,fldRaceName00001,EventName,singleLineText
tblRaces,fldRaceDate00001,EventDate,date
tblRaces,fldRaceTime00001,EventTime,singleLineText
tblRaces,fldRaceLocation001,Location,singleLineText
tblRaces,fldRaceEntry0001,EntryStatus,singleSelect
tblRaces,fldRaceSeason001,Season,singleLineText
tblRaces,fldRaceNotes0001,Notes,singleLineText
tblPaddlingNotes,fldNoteTitle0001,Title,singleLineText
tblPaddlingNotes,fldNoteDate00001,Date,date
tblPaddlingNotes,fldNoteBody00001,Body,multilineText
tblPaddlingNotes,fldNoteTag000001,Tags,singleLineText
