entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
mfp-001,2026-10-02,Breakfast,f-2001,Steel Cut Oatmeal,Bob's Red Mill,40,g,1.5,285,5,1,0,12,48,7,4,10
mfp-002,2026-10-02,Breakfast,f-2002,Banana,,120,g,1,107,0,0,0,1,27,3,14,1
mfp-003,2026-10-02,Lunch,f-2003,Grilled Salmon,,170,g,1,354,16,3,94,108,0,0,0,50
mfp-004,2026-10-02,Lunch,f-2004,Brown Rice,,200,g,1,264,2,0,0,10,55,3,0,5
mfp-005,2026-10-02,Dinner,f-2005,Chicken Stir Fry,,350,g,1,420,12,2,88,640,38,4,8,40
mfp-006,2026-01-26,Breakfast,f-2006,Greek Yogurt – Plain,Fage,227,g,1,190,10,7,30,65,9,0,7,17
mfp-007,2026-01-26,Breakfast,f-2007,Blueberries,,150,g,1,86,0,0,0,1,21,4,15,1
mfp-008,2026-01-26,Snack,f-2008,Mixed Nuts,Kirkland,28,g,1,180,16,2,0,95,7,2,1,5
mfp-009,2026-01-26,Lunch,f-2009,Poke Bowl – Ahi,,450,g,1,610,18,3,72,820,74,4,6,42
mfp-010,2026-02-14,Breakfast,f-2010,Whole Wheat Toast,Dave's Killer Bread,45,g,2,240,4,0,0,320,42,6,8,12
mfp-011,2026-02-14,Breakfast,f-2011,Eggs Scrambled,,100,g,2,296,22,6,380,240,2,0,2,20
mfp-012,2026-02-14,Lunch,f-2012,Plate Lunch – Kalua Pork,,400,g,1,680,28,10,120,1100,62,3,2,44
mfp-013,2025-12-10,Breakfast,f-2013,Steel Cut Oatmeal,Bob's Red Mill,40,g,1,190,3,0,0,8,32,5,3,7
mfp-014,2025-12-10,Lunch,f-2014,Caesar Salad – Large,,280,g,1,390,28,6,40,760,18,3,4,16
mfp-015,2025-12-10,Dinner,f-2015,Mahi-Mahi Grilled,,200,g,1,338,6,1,128,168,0,0,0,66
mfp-016,2025-10-19,Post-Race,f-2016,Recovery Shake – Whey Protein,Optimum Nutrition,33,g,1.5,225,3,1,50,195,6,0,4,45
mfp-017,2025-10-19,Dinner,f-2017,Mahi-Mahi Grilled,,200,g,1,338,6,1,128,168,0,0,0,66
mfp-018,2025-10-19,Breakfast,f-2018,Bagel with Peanut Butter,Thomas,105,g,1,435,18,4,0,460,52,3,8,18
mfp-019,2025-11-08,Lunch,f-2019,Teriyaki Chicken Bowl,,380,g,1,540,10,2,90,980,72,4,12,38
mfp-020,2025-11-08,Breakfast,f-2020,Açaí Bowl,Sambazon,200,g,1,320,14,5,0,80,44,8,22,4
