id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
page-notion-001,workspace,,Race Season Notes,2025-01-12T08:00:00.000Z,2026-02-20T07:30:00.000Z,Chris Allen,False,🛶,
page-notion-002,database,db-notion-001,Season 2025 Training Notes,2025-01-20T07:00:00.000Z,2025-11-05T07:30:00.000Z,Chris Allen,False,,
page-notion-003,database,db-notion-001,Seat 3 Goals – Masters Men,2025-02-01T08:00:00.000Z,2026-02-10T08:00:00.000Z,Chris Allen,False,,
page-notion-004,database,db-notion-001,Kaiwi Channel Relay 2025 Debrief,2025-10-22T10:00:00.000Z,2025-10-22T11:00:00.000Z,Chris Allen,False,,
page-notion-005,workspace,,Wine Club Records,2024-06-01T10:00:00.000Z,2025-11-14T19:00:00.000Z,Chris Allen,False,🍷,
page-notion-006,database,db-notion-002,Burgundy 2019 – Gevrey-Chambertin Tasting,2025-02-14T20:00:00.000Z,2025-02-14T20:30:00.000Z,Chris Allen,False,,
page-notion-007,database,db-notion-002,Napa Cabernet Small Batch Notes,2025-07-04T18:00:00.000Z,2025-07-04T18:30:00.000Z,Chris Allen,False,,
page-notion-008,database,db-notion-002,Holiday Restock 2025,2025-12-01T17:00:00.000Z,2025-12-01T17:15:00.000Z,Chris Allen,False,,
page-notion-009,workspace,,Workshop Log,2024-01-05T09:00:00.000Z,2025-10-30T14:00:00.000Z,Chris Allen,False,🔨,
page-notion-010,database,db-notion-003,Koa Bowl – Woodworking Plan,2025-10-05T10:00:00.000Z,2025-11-22T13:00:00.000Z,Chris Allen,False,,
page-notion-011,database,db-notion-003,Koa Serving Tray – Material Notes,2025-11-01T09:00:00.000Z,2025-11-15T10:00:00.000Z,Chris Allen,False,,
page-notion-012,workspace,,Reading List,2025-03-10T11:00:00.000Z,2026-01-22T08:30:00.000Z,Chris Allen,False,📚,
